Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
REACTOME_PI_METABOLISM	0.07	0.31	0.00	0.88	0.46	0.95	0.67	0.59	0.32	0.60	0.47	0.59	0.4925
PID_ILK_PATHWAY	0.30	0.24	0.59	0.12	0.59	0.01	0.67	0.77	0.81	0.75	0.47	0.59	0.4925
BIOCARTA_ACTINY_PATHWAY	0.52	0.99	0.50	0.34	0.42	1.00	0.33	0.82	0.10	0.35	0.20	0.34	0.4925
BIOCARTA_FREE_PATHWAY	0.61	0.52	0.02	0.75	0.51	0.95	0.83	0.78	0.29	0.08	0.08	0.49	0.4925
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.65	0.27	0.02	0.23	0.66	0.09	0.91	0.00	0.56	0.62	0.97	0.93	0.4925
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	0.28	0.35	0.67	0.47	0.76	0.10	0.99	0.67	0.91	0.51	0.06	0.14	0.4925
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	0.67	0.69	0.46	0.94	0.20	0.84	0.67	0.96	0.00	0.00	0.44	0.05	0.493333333333
REACTOME_S_PHASE	0.80	0.75	0.29	0.79	0.10	0.96	0.91	0.94	0.06	0.01	0.26	0.05	0.493333333333
PID_EPHBFWDPATHWAY	0.19	0.68	0.20	0.26	0.79	0.45	0.67	0.54	0.55	0.45	0.44	0.70	0.493333333333
BIOCARTA_TFF_PATHWAY	0.70	0.32	0.20	0.88	0.67	0.60	0.21	0.40	0.79	0.28	0.31	0.57	0.494166666667
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.19	0.57	0.71	0.52	0.76	0.25	0.62	0.05	0.61	0.20	0.78	0.67	0.494166666667
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	0.47	0.80	0.32	0.90	0.34	0.99	0.93	0.96	0.06	0.05	0.06	0.07	0.495833333333
SA_FAS_SIGNALING	0.45	0.43	0.71	0.16	0.69	0.42	0.31	0.18	0.78	0.17	0.84	0.83	0.4975
REACTOME_RNA_POL_II_TRANSCRIPTION	0.05	0.83	0.29	0.90	0.35	0.99	0.91	0.94	0.56	0.02	0.02	0.11	0.4975
PID_SMAD2_3NUCLEARPATHWAY	0.50	0.22	0.22	0.60	0.80	0.08	0.91	0.88	0.66	0.26	0.37	0.47	0.4975
PID_TELOMERASEPATHWAY	0.79	0.55	0.34	0.55	0.84	0.32	0.81	0.71	0.65	0.00	0.12	0.30	0.498333333333
KEGG_GAP_JUNCTION	0.28	0.15	0.22	0.12	0.54	0.79	0.91	0.09	0.72	0.86	0.55	0.75	0.498333333333
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.57	0.57	0.29	0.38	0.97	0.30	0.63	0.08	0.82	0.56	0.17	0.64	0.498333333333
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	0.06	0.99	0.28	1.00	0.00	1.00	1.00	1.00	0.00	0.00	0.64	0.02	0.499166666667
KEGG_PANCREATIC_CANCER	0.19	0.14	0.47	0.79	0.47	0.12	0.81	0.00	0.63	0.82	0.55	1.00	0.499166666667
BIOCARTA_G2_PATHWAY	0.54	0.62	0.69	0.93	0.40	0.26	0.21	0.65	0.26	0.15	0.55	0.73	0.499166666667
REACTOME_INFLUENZA_LIFE_CYCLE	0.77	0.94	0.02	0.56	0.00	1.00	0.99	1.00	0.00	0.00	0.72	0.00	0.5
REACTOME_IMMUNE_SYSTEM	0.04	0.41	0.50	0.81	0.32	0.70	1.00	0.31	0.37	0.21	0.83	0.50	0.5
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.77	0.53	0.81	0.04	0.37	0.47	0.21	0.70	0.88	0.04	0.76	0.44	0.501666666667
BIOCARTA_DEATH_PATHWAY	1.00	0.79	0.13	0.44	0.28	0.51	0.67	0.37	0.38	0.49	0.31	0.65	0.501666666667
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.80	0.72	0.52	0.79	0.25	0.95	0.91	1.00	0.04	0.02	0.02	0.01	0.5025
BIOCARTA_SPRY_PATHWAY	0.12	0.61	0.31	0.80	0.57	1.00	0.21	0.78	0.80	0.13	0.28	0.43	0.503333333333
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.48	0.50	0.02	0.38	0.96	0.32	0.88	0.34	0.82	0.03	0.45	0.87	0.504166666667
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.56	0.38	0.46	0.80	0.46	0.63	0.70	0.79	0.13	0.04	0.54	0.57	0.505
REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES	0.35	0.81	0.39	0.36	0.08	1.00	0.81	0.62	0.36	0.27	0.42	0.60	0.505833333333
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.55	0.96	0.14	0.97	0.20	0.89	0.92	1.00	0.13	0.17	0.15	0.00	0.506666666667
REACTOME_HS_GAG_DEGRADATION	0.56	0.68	0.84	0.04	0.17	0.40	0.84	0.43	0.28	0.53	0.70	0.64	0.509166666667
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	0.21	0.93	0.62	0.97	0.00	1.00	1.00	1.00	0.03	0.00	0.34	0.01	0.509166666667
PID_AR_TF_PATHWAY	0.27	0.86	0.02	0.77	0.51	0.18	0.81	0.84	0.63	0.53	0.01	0.69	0.51
REACTOME_CYCLIN_E_ASSOCIATED_EVENTS_DURING_G1_S_TRANSITION_	0.61	1.00	0.52	0.87	0.08	0.85	0.91	0.99	0.03	0.00	0.21	0.06	0.510833333333
KEGG_COLORECTAL_CANCER	0.08	0.17	0.18	0.95	0.96	0.15	0.81	0.27	0.64	0.32	0.69	0.91	0.510833333333
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	0.24	0.83	0.56	0.03	0.75	1.00	0.21	0.79	0.24	0.50	0.37	0.62	0.511666666667
KEGG_PYRIMIDINE_METABOLISM	0.77	0.44	0.44	0.36	0.52	0.96	0.91	0.07	0.46	0.62	0.59	0.00	0.511666666667
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	0.79	0.93	0.29	0.97	0.26	0.91	0.67	1.00	0.00	0.01	0.26	0.05	0.511666666667
BIOCARTA_GPCR_PATHWAY	0.89	0.16	0.38	0.18	0.84	0.29	0.67	0.67	0.72	0.27	0.44	0.65	0.513333333333
SA_CASPASE_CASCADE	0.90	0.30	0.31	0.44	0.85	0.16	0.33	0.45	0.46	0.41	0.59	0.96	0.513333333333
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1	1.00	0.01	0.68	0.33	0.46	0.50	0.67	0.44	0.73	0.80	0.18	0.37	0.514166666667
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.19	1.00	0.48	0.60	0.00	1.00	1.00	1.00	0.00	0.00	0.84	0.06	0.514166666667
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.26	0.01	0.48	0.79	0.84	0.04	0.85	0.10	0.96	0.50	0.82	0.53	0.515
PID_ARF_3PATHWAY	0.33	0.61	0.46	0.62	0.28	1.00	0.46	0.63	0.56	0.22	0.35	0.68	0.516666666667
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	0.13	0.35	0.54	0.65	0.76	0.91	0.81	0.06	0.84	0.39	0.38	0.38	0.516666666667
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.66	0.30	0.49	0.24	0.79	0.77	0.33	0.16	0.62	0.70	0.38	0.76	0.516666666667
REACTOME_CHOLESTEROL_BIOSYNTHESIS	0.84	0.30	0.29	0.88	0.69	0.38	0.21	0.57	0.84	0.55	0.53	0.13	0.5175
SIG_CD40PATHWAYMAP	0.69	0.61	0.59	0.54	0.41	0.34	0.67	0.89	0.21	0.15	0.38	0.73	0.5175
BIOCARTA_EPHA4_PATHWAY	0.95	0.45	0.85	0.01	0.90	0.44	0.25	0.04	0.25	0.26	0.88	0.94	0.518333333333
REACTOME_REGULATION_OF_KIT_SIGNALING	0.67	0.22	0.93	0.09	0.96	0.57	0.21	0.14	0.84	0.24	0.57	0.79	0.519166666667
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.15	0.45	0.63	0.60	0.42	0.41	0.97	0.14	0.69	0.87	0.47	0.44	0.52
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.86	0.99	0.28	0.19	0.10	0.91	0.53	0.94	0.13	1.00	0.15	0.16	0.52
KEGG_RNA_DEGRADATION	0.27	0.25	0.97	0.92	0.97	0.58	0.97	0.25	0.30	0.00	0.26	0.50	0.52
KEGG_GLYCEROLIPID_METABOLISM	0.59	0.43	0.55	0.08	0.52	0.36	0.67	0.64	0.84	0.14	0.91	0.52	0.520833333333
REACTOME_MRNA_3_END_PROCESSING	0.35	0.68	0.49	1.00	0.85	0.51	0.33	0.93	0.62	0.08	0.09	0.33	0.521666666667
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.69	0.43	0.59	0.20	0.42	0.39	0.21	0.94	0.84	0.82	0.37	0.36	0.521666666667
PID_S1P_S1P4_PATHWAY	0.60	0.90	0.24	0.09	0.17	0.67	0.21	0.59	0.80	0.84	0.42	0.73	0.521666666667
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	0.30	0.93	0.38	0.98	0.25	0.92	0.88	1.00	0.00	0.03	0.54	0.05	0.521666666667
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.94	0.04	0.69	0.04	0.41	0.41	0.88	0.51	0.70	0.78	0.35	0.52	0.5225
BIOCARTA_MPR_PATHWAY	0.02	0.46	0.94	0.97	0.49	0.71	0.67	0.82	0.49	0.11	0.13	0.46	0.5225
BIOCARTA_TCR_PATHWAY	0.63	0.61	0.55	0.12	0.79	0.51	0.67	0.41	0.66	0.07	0.28	0.98	0.523333333333
BIOCARTA_P53HYPOXIA_PATHWAY	0.15	0.30	0.50	0.74	0.29	0.43	0.68	0.73	0.63	0.42	0.44	0.98	0.524166666667
PID_HNF3BPATHWAY	0.65	0.13	0.49	0.57	0.99	0.31	0.94	0.01	0.97	0.61	0.45	0.17	0.524166666667
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.45	0.23	0.75	0.23	0.44	0.07	1.00	0.99	0.46	0.43	0.50	0.75	0.525
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	0.38	0.02	0.44	0.25	0.79	0.05	0.91	0.65	0.96	0.72	0.21	0.92	0.525
PID_ANGIOPOIETINRECEPTOR_PATHWAY	0.89	0.31	0.50	0.36	0.82	0.10	0.67	0.52	0.70	0.27	0.54	0.62	0.525
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN	0.54	0.95	0.43	0.98	0.10	0.94	0.81	1.00	0.02	0.00	0.40	0.13	0.525
BIOCARTA_FAS_PATHWAY	0.83	0.80	0.04	0.16	0.03	0.89	0.67	0.59	0.13	1.00	0.16	1.00	0.525
KEGG_AXON_GUIDANCE	0.29	0.42	0.21	0.41	0.72	0.16	0.92	0.19	0.41	0.78	0.80	1.00	0.525833333333
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.73	0.68	0.82	0.44	0.46	0.32	0.21	0.36	0.46	0.65	0.75	0.43	0.525833333333
BIOCARTA_IGF1_PATHWAY	0.56	0.75	0.68	0.71	0.71	1.00	0.21	0.21	0.27	0.02	0.25	0.94	0.525833333333
BIOCARTA_EPO_PATHWAY	0.63	0.79	0.75	0.19	0.73	0.71	0.33	0.60	0.26	0.01	0.67	0.65	0.526666666667
REACTOME_SIGNALING_BY_ERBB4	0.55	0.13	0.78	0.36	0.57	0.80	0.91	0.53	0.07	0.36	0.29	0.97	0.526666666667
BIOCARTA_SHH_PATHWAY	0.94	0.29	0.04	0.84	0.88	0.71	0.81	0.17	0.97	0.27	0.11	0.29	0.526666666667
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.34	0.17	0.66	0.96	0.58	0.23	0.81	0.19	0.36	0.31	0.94	0.77	0.526666666667
SA_G2_AND_M_PHASES	0.54	0.47	0.61	0.91	0.37	0.19	0.81	0.35	0.54	0.35	0.31	0.88	0.5275
KEGG_ERBB_SIGNALING_PATHWAY	0.22	0.27	0.27	0.36	0.96	0.13	0.91	0.67	0.74	0.42	0.39	1.00	0.528333333333
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION	0.02	0.95	0.15	0.50	0.41	0.19	0.91	0.46	0.64	0.49	0.70	0.92	0.528333333333
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.59	0.33	0.60	0.86	0.69	0.89	0.67	0.24	0.25	0.07	0.63	0.52	0.528333333333
BIOCARTA_CELLCYCLE_PATHWAY	0.57	0.72	0.53	0.83	0.33	0.43	0.21	0.55	0.88	0.60	0.37	0.33	0.529166666667
PID_P75NTRPATHWAY	0.89	0.71	0.30	0.13	0.87	0.15	0.81	0.57	0.16	0.32	0.70	0.75	0.53
KEGG_MTOR_SIGNALING_PATHWAY	0.48	0.53	0.42	1.00	0.13	0.35	0.81	0.28	0.71	0.32	0.80	0.57	0.533333333333
PID_PLK1_PATHWAY	0.42	0.65	0.28	1.00	0.57	0.97	0.77	0.13	0.67	0.46	0.03	0.46	0.534166666667
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.60	0.75	0.03	0.12	0.78	0.22	0.91	1.00	0.76	0.30	0.37	0.57	0.534166666667
PID_ERBB1_INTERNALIZATION_PATHWAY	0.09	0.53	0.30	0.12	0.85	0.90	0.67	0.59	0.87	0.32	0.48	0.70	0.535
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.50	0.43	0.01	0.38	0.89	0.29	0.67	0.46	0.82	0.51	0.93	0.54	0.535833333333
PID_RAC1_REG_PATHWAY	0.55	0.27	0.49	0.50	0.81	0.51	0.67	0.43	0.48	0.87	0.31	0.54	0.535833333333
PID_REG_GR_PATHWAY	0.21	0.07	0.46	0.88	0.38	0.95	0.91	0.32	0.16	0.34	0.82	0.93	0.535833333333
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS	0.35	0.26	0.34	0.57	0.85	0.00	1.00	0.06	0.99	0.58	0.70	0.74	0.536666666667
REACTOME_PROTEIN_FOLDING	0.97	0.26	0.69	0.60	0.37	0.50	0.92	0.40	0.66	0.09	0.90	0.08	0.536666666667
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	0.98	0.74	0.77	0.73	0.08	0.99	0.81	0.69	0.01	0.00	0.52	0.12	0.536666666667
KEGG_THYROID_CANCER	0.12	0.93	0.00	0.61	0.61	0.68	0.97	0.91	0.69	0.03	0.40	0.50	0.5375
BIOCARTA_EIF_PATHWAY	0.15	0.99	0.40	0.31	0.42	0.98	1.00	0.98	0.07	0.28	0.44	0.43	0.5375
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.62	0.92	0.76	0.72	0.42	0.35	0.36	0.65	0.18	0.05	0.65	0.78	0.538333333333
BIOCARTA_ALK_PATHWAY	0.67	0.31	0.71	0.50	0.54	0.36	0.67	0.34	0.56	0.68	0.13	0.99	0.538333333333
REACTOME_PEROXISOMAL_LIPID_METABOLISM	0.45	0.48	0.29	0.90	0.42	0.58	0.79	0.60	0.26	0.16	0.63	0.90	0.538333333333
REACTOME_NEPHRIN_INTERACTIONS	0.73	0.84	0.81	0.00	0.85	0.93	0.36	0.12	0.07	0.52	0.63	0.61	0.539166666667
BIOCARTA_NDKDYNAMIN_PATHWAY	0.54	0.47	0.68	0.00	0.75	0.13	0.53	0.60	0.45	0.82	0.63	0.87	0.539166666667
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	0.82	1.00	0.43	0.95	0.28	0.99	0.81	1.00	0.00	0.00	0.14	0.06	0.54
KEGG_OXIDATIVE_PHOSPHORYLATION	0.18	0.98	0.29	0.80	0.63	0.75	1.00	1.00	0.16	0.01	0.34	0.35	0.540833333333
BIOCARTA_AKT_PATHWAY	0.33	0.25	0.47	1.00	0.88	0.98	0.21	0.33	0.32	0.79	0.39	0.54	0.540833333333
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.16	0.36	0.50	0.84	0.65	0.92	0.70	0.52	0.47	0.27	0.50	0.60	0.540833333333
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.27	0.18	0.33	0.94	0.92	0.21	0.81	0.38	0.65	0.58	0.70	0.52	0.540833333333
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	0.68	0.30	0.31	0.72	0.85	0.27	0.97	0.34	0.28	0.63	0.45	0.69	0.540833333333
PID_INSULIN_PATHWAY	0.77	0.30	0.91	0.78	0.38	0.87	0.67	0.25	0.56	0.27	0.02	0.72	0.541666666667
REACTOME_REGULATION_OF_SIGNALING_BY_CBL	0.75	0.25	0.58	0.22	0.66	0.83	0.33	0.05	0.46	0.79	0.62	0.97	0.5425
KEGG_VEGF_SIGNALING_PATHWAY	0.38	0.01	0.72	0.36	0.59	0.92	0.81	0.21	0.17	0.53	1.00	0.81	0.5425
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	0.45	0.79	0.07	0.77	0.15	0.92	0.81	0.46	0.16	0.38	0.73	0.82	0.5425
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.73	0.59	0.49	0.86	0.39	0.44	0.21	0.07	0.95	0.75	0.05	0.99	0.543333333333
PID_NECTIN_PATHWAY	0.20	0.76	0.29	0.51	0.76	0.19	0.88	0.26	0.51	0.97	0.47	0.72	0.543333333333
REACTOME_GLYCOSPHINGOLIPID_METABOLISM	0.77	0.99	0.07	0.50	0.65	0.00	0.90	0.54	0.75	0.51	0.58	0.27	0.544166666667
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.75	0.54	0.81	0.10	0.66	0.18	0.21	0.92	0.81	0.93	0.37	0.25	0.544166666667
REACTOME_SIGNALING_BY_HIPPO	0.28	0.76	0.39	0.61	0.45	0.49	0.21	0.92	0.44	0.73	0.31	0.96	0.545833333333
KEGG_NITROGEN_METABOLISM	0.33	0.30	0.48	0.94	0.06	0.32	0.84	0.05	0.67	0.99	0.67	0.90	0.545833333333
REACTOME_INTERFERON_SIGNALING	0.87	0.97	0.74	0.28	0.50	0.23	1.00	0.28	0.18	0.00	0.81	0.69	0.545833333333
REACTOME_DAG_AND_IP3_SIGNALING	0.97	0.04	0.71	0.07	0.21	0.39	0.67	0.57	0.90	0.97	0.12	0.95	0.5475
REACTOME_M_G1_TRANSITION	0.47	0.90	0.71	0.82	0.13	0.97	0.81	0.98	0.07	0.00	0.61	0.12	0.549166666667
PID_ARF6DOWNSTREAMPATHWAY	0.27	0.89	0.19	0.61	0.45	0.76	0.26	0.80	0.71	0.61	0.31	0.73	0.549166666667
PID_TGFBRPATHWAY	0.80	0.27	0.97	0.08	0.98	0.05	0.81	0.50	0.44	0.08	0.72	0.91	0.550833333333
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.13	0.77	0.87	0.20	0.97	0.39	0.21	0.65	0.93	0.90	0.29	0.31	0.551666666667
PID_FASPATHWAY	0.55	0.40	0.46	0.57	0.92	0.61	0.67	0.27	0.81	0.20	0.40	0.76	0.551666666667
PID_PI3KCIAKTPATHWAY	0.13	0.72	0.69	0.77	0.46	0.95	0.88	0.39	0.40	0.75	0.06	0.42	0.551666666667
KEGG_PURINE_METABOLISM	0.71	0.21	0.00	0.40	0.98	0.67	1.00	0.31	0.62	0.83	0.90	0.00	0.5525
KEGG_P53_SIGNALING_PATHWAY	0.08	0.55	0.33	0.97	0.36	0.90	0.81	0.19	0.62	0.15	0.75	0.92	0.5525
PID_TCPTP_PATHWAY	0.42	0.01	0.50	0.51	1.00	0.76	0.67	0.02	0.78	0.03	0.94	1.00	0.553333333333
BIOCARTA_MYOSIN_PATHWAY	0.67	0.48	0.29	0.14	0.63	0.51	0.67	0.95	0.44	0.80	0.45	0.62	0.554166666667
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.33	0.56	0.55	0.23	0.52	0.37	0.33	0.96	0.92	0.99	0.50	0.39	0.554166666667
BIOCARTA_FEEDER_PATHWAY	0.57	0.33	0.63	0.77	0.48	0.56	0.51	0.77	0.22	0.33	0.88	0.60	0.554166666667
PID_IFNGPATHWAY	0.50	0.80	0.04	1.00	1.00	0.40	0.67	0.23	0.61	0.08	0.63	0.70	0.555
REACTOME_PKB_MEDIATED_EVENTS	0.49	0.86	0.79	0.16	0.02	0.83	0.67	0.87	0.55	0.80	0.38	0.25	0.555833333333
KEGG_ACUTE_MYELOID_LEUKEMIA	0.19	0.66	0.07	0.98	0.67	0.79	0.81	0.36	0.40	0.24	0.56	0.95	0.556666666667
REACTOME_UNFOLDED_PROTEIN_RESPONSE	0.88	0.45	0.59	0.52	0.80	0.30	0.99	0.85	0.47	0.08	0.45	0.32	0.558333333333
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.75	0.48	0.46	0.52	0.61	0.71	1.00	0.42	0.53	0.48	0.26	0.49	0.559166666667
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.64	1.00	0.48	0.70	0.00	1.00	1.00	1.00	0.00	0.00	0.88	0.03	0.560833333333
REACTOME_SYNTHESIS_OF_DNA	0.80	0.88	0.65	0.83	0.12	0.98	0.91	1.00	0.06	0.01	0.38	0.11	0.560833333333
REACTOME_SIGNAL_AMPLIFICATION	0.16	0.72	0.84	0.26	0.28	0.32	0.67	0.77	0.69	0.92	0.59	0.52	0.561666666667
PID_AR_NONGENOMIC_PATHWAY	0.15	0.82	0.14	0.12	0.79	0.59	0.67	0.59	0.61	0.97	0.44	0.87	0.563333333333
REACTOME_COPI_MEDIATED_TRANSPORT	0.55	0.32	0.88	0.59	0.67	0.76	0.24	0.55	0.72	0.53	0.80	0.16	0.564166666667
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	0.64	0.89	0.38	0.26	0.71	1.00	0.88	0.85	0.55	0.20	0.40	0.01	0.564166666667
ST_GA13_PATHWAY	0.78	0.62	0.38	0.46	0.21	0.12	0.67	0.64	0.34	0.92	0.92	0.71	0.564166666667
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE	0.35	0.99	0.84	0.13	0.91	0.20	0.21	0.53	0.93	0.82	0.31	0.57	0.565833333333
PID_BMPPATHWAY	0.85	0.20	0.00	0.58	0.64	0.69	0.88	0.76	0.57	0.10	0.93	0.59	0.565833333333
BIOCARTA_IL2_PATHWAY	0.67	0.43	0.76	0.73	0.72	0.67	0.21	0.65	0.28	0.01	0.70	0.96	0.565833333333
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	0.74	0.85	0.07	1.00	0.92	0.89	0.88	1.00	0.40	0.00	0.03	0.01	0.565833333333
BIOCARTA_TID_PATHWAY	0.81	0.66	0.57	1.00	0.71	0.26	0.36	0.66	0.97	0.00	0.38	0.43	0.5675
REACTOME_REGULATORY_RNA_PATHWAYS	0.35	0.23	0.75	0.86	0.69	0.85	0.63	0.79	0.55	0.28	0.44	0.39	0.5675
REACTOME_GLUCOSE_METABOLISM	0.32	0.79	0.81	0.14	0.86	0.89	0.81	0.02	0.99	0.56	0.09	0.53	0.5675
KEGG_TIGHT_JUNCTION	0.62	0.69	0.15	0.19	0.59	0.04	0.92	0.53	0.61	0.67	0.87	0.93	0.5675
BIOCARTA_IL2RB_PATHWAY	0.58	0.37	0.36	0.97	0.92	0.73	0.67	0.44	0.57	0.27	0.34	0.59	0.5675
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	0.21	1.00	0.85	0.95	0.01	0.99	1.00	1.00	0.06	0.00	0.70	0.06	0.569166666667
ST_WNT_CA2_CYCLIC_GMP_PATHWAY	0.27	0.65	0.49	0.06	0.97	0.57	0.21	0.83	0.86	0.48	0.57	0.88	0.57
PID_THROMBIN_PAR4_PATHWAY	0.63	0.96	0.76	0.32	0.07	0.83	0.21	0.59	0.48	0.63	0.41	0.95	0.57
KEGG_FATTY_ACID_METABOLISM	0.74	0.03	0.70	0.26	0.93	0.00	0.67	0.82	0.95	0.33	0.87	0.54	0.57
PID_RET_PATHWAY	0.51	0.27	0.60	0.54	0.79	0.72	0.67	0.59	0.74	0.33	0.29	0.79	0.57
PID_NFKAPPABATYPICALPATHWAY	0.41	0.79	0.67	0.47	0.90	0.89	0.21	0.52	0.84	0.15	0.37	0.65	0.5725
REACTOME_TRANSCRIPTION	0.07	0.94	0.35	1.00	0.72	1.00	1.00	0.94	0.84	0.00	0.02	0.00	0.573333333333
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	0.79	0.82	0.36	0.85	0.54	0.87	0.95	0.89	0.22	0.03	0.48	0.08	0.573333333333
BIOCARTA_PPARA_PATHWAY	0.83	0.14	0.35	0.74	0.73	0.79	0.81	0.50	0.53	0.05	0.42	1.00	0.574166666667
PID_TRKRPATHWAY	0.87	0.87	0.71	0.13	0.36	0.17	0.81	0.86	0.70	0.29	0.42	0.70	0.574166666667
KEGG_RIBOSOME	0.80	1.00	0.44	0.90	0.02	1.00	1.00	1.00	0.00	0.00	0.75	0.00	0.575833333333
BIOCARTA_HCMV_PATHWAY	0.69	0.68	0.31	0.83	0.86	0.93	0.21	0.41	0.62	0.56	0.43	0.39	0.576666666667
REACTOME_REGULATION_OF_APOPTOSIS	0.63	0.88	0.58	0.95	0.31	0.99	0.98	0.98	0.00	0.00	0.40	0.22	0.576666666667
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.45	0.83	0.14	0.06	0.76	0.17	0.74	0.86	0.98	0.56	0.55	0.83	0.5775
REACTOME_SIGNALLING_TO_ERKS	0.38	0.96	0.22	0.22	0.56	0.46	0.67	0.76	0.82	0.37	0.61	0.91	0.578333333333
KEGG_LYSOSOME	0.87	0.99	0.60	1.00	0.61	0.14	0.93	0.53	0.66	0.13	0.29	0.20	0.579166666667
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.35	0.87	0.69	0.84	0.03	0.90	1.00	0.95	0.06	0.06	0.70	0.50	0.579166666667
REACTOME_AXON_GUIDANCE	0.56	0.58	0.21	0.75	0.54	0.73	0.99	0.90	0.42	0.57	0.07	0.63	0.579166666667
REACTOME_DIABETES_PATHWAYS	0.32	0.34	0.38	0.58	0.75	0.74	0.92	0.69	0.58	0.52	0.79	0.34	0.579166666667
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION	0.59	0.87	0.28	0.80	0.83	0.66	0.70	0.96	0.27	0.81	0.19	0.00	0.58
BIOCARTA_NGF_PATHWAY	0.57	0.79	0.74	0.63	0.59	0.94	0.21	0.33	0.62	0.39	0.20	0.96	0.580833333333
